full_name,clone_url,default_branch,stargazers_count,last_pushed,license_spdx,license_class,language,archived
enbochen/hyperledger-composer-supply-chain-network,https://github.com/enbochen/hyperledger-composer-supply-chain-network.git,master,70,2019-10-29,,unlicensed,JavaScript,False
enkessler/cql,https://github.com/enkessler/cql.git,master,26,2022-07-18,MIT,permissive,Ruby,False
enkessler/cucumber_analytics,https://github.com/enkessler/cucumber_analytics.git,master,11,2019-10-17,MIT,permissive,Ruby,False
enkessler/cuke_modeler,https://github.com/enkessler/cuke_modeler.git,master,22,2026-01-23,MIT,permissive,Ruby,False
enspirit/finitio.js,https://github.com/enspirit/finitio.js.git,master,55,2025-08-15,MIT,permissive,JavaScript,False
evekb/evedev-kb,https://github.com/evekb/evedev-kb.git,4.4,41,2023-04-15,,unlicensed,PHP,False
fahchen/grephql,https://github.com/fahchen/grephql.git,main,11,2026-04-17,MIT,permissive,Elixir,False
flype/LetsDecideUS,https://github.com/flype/LetsDecideUS.git,master,21,2009-08-25,NOASSERTION,unknown,Ruby,False
folio-org/folio-integration-tests,https://github.com/folio-org/folio-integration-tests.git,master,13,2026-04-17,Apache-2.0,permissive,mIRC Script,False
gauntlt/gauntlt,https://github.com/gauntlt/gauntlt.git,master,995,2022-06-20,MIT,permissive,Ruby,False
gitcolab/gitcolab,https://github.com/gitcolab/gitcolab.git,master,11,2020-08-01,MIT,permissive,PHP,False
graphql-editor/graphql-editor,https://github.com/graphql-editor/graphql-editor.git,master,6072,2025-09-10,MIT,permissive,TypeScript,False
guard/guard,https://github.com/guard/guard.git,master,6527,2026-02-02,MIT,permissive,Ruby,False
hacsoc/the_jolly_advisor,https://github.com/hacsoc/the_jolly_advisor.git,master,15,2023-01-18,MIT,permissive,Ruby,False
hedgehog/cuken,https://github.com/hedgehog/cuken.git,master,47,2012-08-28,NOASSERTION,unknown,Ruby,False
henrycatalinismith/ppl,https://github.com/henrycatalinismith/ppl.git,main,301,2025-03-04,NOASSERTION,unknown,Ruby,False
hmcts/ccd-data-store-api,https://github.com/hmcts/ccd-data-store-api.git,master,14,2026-04-17,MIT,permissive,Java,False
hyperledger/fabric-gateway,https://github.com/hyperledger/fabric-gateway.git,main,190,2026-04-19,Apache-2.0,permissive,Java,False
imbo/imbo,https://github.com/imbo/imbo.git,main,338,2026-04-18,MIT,permissive,PHP,False
